"question_content";"question_content_image";"answer_content";"answer_content_image";"box_number";"last_reviewed"
"Quels sont les coûts de construction déterminant la prestation pour le calcul des honoraires du planificateur ?";"";"Toutes les dépenses financières pour les installations et équipements traités par l'ingénieur, après déduction des rabais contractuels (SIA 108 7.5.1).";"";"1";"2026-05-13 12:18:51"
"Dans quel but la norme SIA 118 a-t-elle été éditée ?";"";"La norme doit faciliter la conclusion et la formulation des contrats (SIA 118).";"";"1";"2026-05-13 12:17:56"
"Selon quels critères la rémunération peut-elle être convenue pour un mandat de planification facturé au temps effectif passé ?";"";"Selon les catégories de qualification / Selon les salaires / Selon les taux horaires moyens (SIA 108 6.1.1).";"";"1";"2026-05-13 12:17:05"
"Le planificateur électricien peut-il être tenu pour responsable de la non-atteinte d'un objectif parce que, par exemple, une autorisation d'un tiers n'a pas été délivrée ?";"";"Non (SIA 112 AVB 9.12 + SIA 108 1.9.12).";"";"1";"2026-05-13 12:15:43"
"Quelles phases d'une planification électrique sont usuelles sans accord particulier ?";"";"Phase 3 (Études du projet), Phase 4 (Appel d'offres), Phase 5 (Réalisation) (SIA 108 3.1.5).";"";"1";"2026-05-13 12:14:30"
"Quelle est la durée du délai de garantie pour les défauts cachés et pour les défauts que l'entrepreneur a intentionnellement dissimulés ?";"";"Le délai de garantie pour les défauts cachés est de 5 ans et de 10 ans pour les défauts que l'entrepreneur a intentionnellement dissimulés (SIA 118, Art 180). ";"";"1";"2026-05-13 12:12:37"
"Quelle est la durée de la période de garantie pour un ouvrage selon la SIA et quand commence-t-elle à être valide ?";"";"Selon la SIA 118 Art. 172, le délai de garantie est de 2 ans. La garantie commence à courir le jour de la réception (SIA 118, Art 172).";"";"1";"2026-05-13 12:10:33"
"Dans la SIA 112, l'ensemble du processus de planification est divisé en phases. Nommez-les, y compris leur nom/désignation.";"";"1 Planification stratégique, 2 Études préliminaires, 3 Études du projet, 4 Appel d'offres, 5 Réalisation, 6 Exploitation";"";"1";"2026-05-13 00:57:05"
"A-t-on le droit de prendre une offre d'une entreprise en cachant les prix et demander une offre à une autre entreprise à titre de comparaison de prix ?";"";"Non. Norme 118 Art. 18.3 Le maître de l'ouvrage ne peut pas utiliser l'offre, y compris les variantes d'entrepreneur, sans autorisation. il doit en particulier respecter la législation sur le droit d'auteur, sur les brevets d'invention, sur la protection des dessins et sur la concurrence déloyale.";"";"1";"2026-05-12 14:07:57"
"Dans le chapitre Exigences, Généralités de la SIA 380/7 sont spécifiées la valeur limite et la valeur cible. Décrivez la différence entre ces deux termes.";"";"Art. 4.1.1 Les valeurs limites et les exigences générales pour l'éclairage doivent être respectées lorsqu'il s'agit d'un projet de construction ou de transformation, ainsi que lors du remplacement d'installations d'éclairage existantes. Art. 4.1.2 Les valeurs cibles sont des valeurs de consignes vers lesquelles doit tendre le projet de construction ou de remplacement.";"";"1";"2026-05-12 14:02:38"
"La SIA 118 concernant les conditions générales pour l'exécution des travaux de construction fait-elle office de loi ?";"";"Non ce n'est pas une loi, mais une norme qui doit s'appliquer avec le client soit par oral ou écrit, à spécifier dans le contrat.";"";"1";"2026-05-12 13:01:07"
"L’honoraire de l’ingénieur est-il un pourcentage fixe du coût de construction ?";"";"Non. L’honoraire n’est pas un pourcentage fixe mais est calculé selon une méthode définie dans la norme SIA 108.";"";"1";"2026-03-02 17:53:16"
"À quoi sert la norme SIA 380/4 ?";"";"Elle vise l’utilisation rationnelle de l’électricité dans le bâtiment et fournit un outil d’optimisation de la consommation électrique.";"";"1";"2026-03-02 17:53:16"
"Que signifie une adjudication à forfait ?";"";"Les parties conviennent d’un prix forfaitaire ferme indépendant des quantités réellement exécutées.";"";"1";"2026-03-02 17:53:16"
"Citez quatre prestations comprises dans la phase « projet d’exécution ».";"";"Calculs définitifs ; Élaboration des plans d’exécution ; Coordination des installations ; Contrôle des plans d’atelier.";"";"1";"2026-03-02 17:53:16"
"Citez quatre groupes professionnels composant la SIA.";"";"Architecture ; Génie civil ; Technique / Industrie ; Environnement (Sol/Air/Eau)";"";"1";"2026-03-02 17:53:16"
"La coordination interdisciplinaire CVSE est-elle incluse d’office dans le mandat de l’ingénieur électricien ?";"";"Non. Elle nécessite un mandat séparé et une rémunération spécifique.";"";"1";"2026-03-02 17:53:16"
"Citez deux indications que doit contenir le programme des travaux de l’entrepreneur.";"";"L’avancement des travaux dans les délais contractuels et les effectifs prévus par phase.";"";"1";"2026-03-02 17:53:16"
"Un descriptif détaillé est-il nécessaire pour un contrat à forfait ?";"";"Oui. Un cahier des charges clair complet et détaillé est indispensable.";"";"1";"2026-03-02 17:53:16"
"Qui est responsable de la sécurité des personnes sur le chantier ?";"";"Les entrepreneurs et la direction des travaux.";"";"1";"2026-03-02 17:53:16"
"La technique MCR fait-elle partie d’office du mandat de l’ingénieur électricien ?";"";"Non. Un mandat spécifique pour la technique MCR doit être convenu séparément.";"";"1";"2026-03-02 17:53:16"
"Qu’est-ce que l’hypothèque légale des artisans et entrepreneurs ?";"";"Il s’agit d’une garantie légale permettant à l’entrepreneur de sécuriser ses créances sur l’ouvrage.";"";"1";"2026-03-02 17:53:16"
"Où trouver des exemples de bilans énergétiques de bâtiments ?";"";"Dans l’annexe B (partie informative) de la norme SIA 380/4.";"";"1";"2026-03-02 17:53:16"
"Comment se définit l’indice de dépense d’énergie E ?";"";"Il correspond à l’énergie finale annuelle consommée exprimée en MJ divisée par la surface de référence énergétique du bâtiment.";"";"1";"2026-03-02 17:53:16"
"Citez deux conditions précisées par le MO dans un appel d’offres.";"";"La date de dépôt de l’offre et la durée de validité de celle-ci.";"";"1";"2026-03-02 17:53:16"
"Citez deux normes SIA applicables à la planification électrique.";"";"La norme SIA 108 (Prestations et honoraires) et la norme SIA 118 (Conditions générales pour l’exécution des travaux).";"";"1";"2026-03-02 17:53:16"
"Qu’est-il important de faire à la fin des travaux ?";"";"Procéder à la réception vérifiée de l’ouvrage selon un protocole SIA.";"";"1";"2026-03-02 17:53:16"
"Le contrôle des éléments noyés dans le béton fait-il partie du mandat standard ?";"";"Non. Il s’agit d’une prestation spéciale à convenir explicitement.";"";"1";"2026-03-02 17:53:16"
"Comment différencier les prestations selon le type de bâtiment ?";"";"En appliquant le facteur « degré de difficulté » de la norme SIA 108.";"";"1";"2026-03-02 17:53:16"
"Citez quatre pièces d’un dossier de soumission.";"";"Projet de contrat ; Conditions particulières ; Devis descriptif ; Plans.";"";"1";"2026-03-02 17:53:16"
"Quel est le principal objectif de la SIA 380/4 ?";"";"Optimiser et rationaliser la consommation d’électricité dans les bâtiments.";"";"1";"2026-03-02 17:53:16"
"Quel est le délai de garantie et quand débute-t-il ?";"";"Le délai est de deux ans à compter de la réception de l’ouvrage.";"";"1";"2026-03-02 17:53:16"
"La TVA est-elle incluse dans le montant de l’ouvrage pour le calcul des honoraires ?";"";"Non. Le montant de référence est calculé hors TVA.";"";"1";"2026-03-02 17:53:16"
"Qui publie les catégories A / B / C / D pour les ouvrages publics ?";"";"La KBOB(Koordinationskonferenz der Bau- und Liegenschaftsorgane der öffentlichen Bauherren)/(Conférence de coordination des services de la construction et des immeubles des maîtres d’ouvrage publics)";"";"1";"2026-03-02 17:53:16"
"Quelle est la différence entre un plan de projet et un plan d’exécution ?";"";"Le plan de projet définit le concept tandis que le plan d’exécution permet la réalisation de l’ouvrage.";"";"1";"2026-03-02 17:53:16"
"Quelle norme permet de calculer la puissance et la consommation électriques d’un bâtiment ?";"";"La norme SIA 2024.";"";"1";"2026-03-02 17:53:16"
"Quels plans fournit l’ingénieur électricien en phase projet ?";"";"Les plans d’appareillage sans tracé des lignes ni boîtes de dérivation.";"";"1";"2026-03-02 17:53:16"
"À quoi servent les fiches techniques par locaux types dans la SIA 2024 ?";"";"Elles définissent les valeurs spécifiques de puissance électrique par m² selon le type de local.";"";"1";"2026-03-02 17:53:16"
"Que traite la norme SIA 451 ?";"";"Le transfert et la structuration des données informatiques pour les descriptifs.";"";"1";"2026-03-02 17:53:16"
"La norme SIA 108 fait-elle office de loi ?";"";"Non. La norme SIA 108 n’a pas force de loi elle s’applique uniquement si elle est contractuellement convenue entre les parties.";"";"1";"2026-03-02 17:53:16"
"Décrivez le contenu de la norme SIA 108.";"";"La norme SIA 108 définit le règlement contractuel entre le mandant et l’ingénieur concernant les prestations les phases les honoraires et les responsabilités.";"";"1";"2026-03-02 17:53:16"
"Que signifie le « degré de difficulté » dans la norme SIA 108 ?";"";"Le degré de difficulté représente la complexité technique et organisationnelle de l’ouvrage.";"";"1";"2026-03-02 17:53:16"
"Que signifie le « facteur d’ajustement » dans la norme SIA 108 ?";"";"Le facteur d’ajustement tient compte des circonstances particulières du mandat telles que l’organisation le lieu le programme ou les contraintes spécifiques.";"";"1";"2026-03-02 17:53:16"
"La formule de calcul de la SIA 108 détermine-t-elle des heures ou des montants en francs ?";"";"La formule de calcul SIA 108 détermine des heures de prestations et non directement des montants en francs.";"";"1";"2026-03-02 17:53:16"
"Quelles branches du bâtiment sont régies par la norme SIA 108 ?";"";"Les installations CVSE : chauffage ventilation climatisation sanitaire et électricité y compris l’automatisation du bâtiment.";"";"1";"2026-03-02 17:53:16"
